,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
52,1.54,-0.009854192762662698,-0.01079631210377513,-0.01101987677197851,0.07580968959931912,-0.010106254275884555,-0.010237402380980075,-0.010109996710800586,-0.013363689775963547,-0.011169310100267041,-0.010295242603974825,-0.010647755142206734,-0.0006822034902163776,0.008716769787037955
53,1.56,-0.009663140342070081,-0.01058176202645486,-0.010792764034517429,0.07493057711336112,-0.009920181734894633,-0.010044162960651302,-0.009911365005774494,-0.013061998411085666,-0.010955766137183003,-0.01010083631172475,-0.010445150461539855,-0.0006069652233907503,0.008683913253387746
54,1.58,-0.009481572687559819,-0.010378401213735953,-0.010577270518236849,0.07407769716774716,-0.009743373281333002,-0.009860381267122107,-0.009722844268030587,-0.012775571580005534,-0.01075263082391143,-0.009916529161655986,-0.0102523756342759,-0.000537764944490885,0.008648307537068687
55,1.6,-0.009309315280769661,-0.01018493482517711,-0.010372797435181927,0.07324789511061933,-0.009575136361842426,-0.009686297692252911,-0.009544435511966572,-0.012502897906061983,-0.010559550831848348,-0.009741315375493378,-0.010069073993837515,-0.00047404888488899414,0.008610037523005121
56,1.62,-0.009145717340355915,-0.010000959906799238,-0.010178741590429181,0.07244051798596063,-0.00941510057320992,-0.009520330609781958,-0.009374971416084428,-0.01224289800587884,-0.0103752450804541,-0.009574576804710772,-0.009894464029462051,-0.00041523189058524857,0.008569432179908644
57,1.6400000000000001,-0.008989810386547548,-0.009826010894569685,-0.009993946290312972,0.07165467763599602,-0.009262723297194497,-0.00936262945763102,-0.009213510265667284,-0.011995707651315779,-0.01020018726235974,-0.009415700565878371,-0.009728210051355109,-0.00036111965493940953,0.008527170732974302
58,1.66,-0.008841594081444653,-0.009659234555775019,-0.009818052036240572,0.07088994415370292,-0.009117392688417842,-0.009211889169795602,-0.009060282120298965,-0.011759494589070808,-0.010032933592984319,-0.00926437341236332,-0.009569431674835477,-0.0003114542519009372,0.00848324634122183
59,1.68,-0.008699957868640064,-0.009500298056910418,-0.009650723395429363,0.07014546975867803,-0.008978634521379895,-0.009068645901608963,-0.008914208668390478,-0.011534224727703137,-0.009873484777210164,-0.009120059070641064,-0.009418135340863287,-0.0002655625669352343,0.008437865487321209
60,1.7,-0.008567314364888138,-0.009347598818662498,-0.009490134092233817,0.06942068951422461,-0.008845384994954544,-0.008930741774382071,-0.008774099435048758,-0.011318200223778663,-0.009720293130693468,-0.008981709199921703,-0.009272719492355749,-0.00022258678152222653,0.008391415270711688
61,1.72,-0.00843861762948647,-0.009202692199510875,-0.009337829930949632,0.06871311569201363,-0.008718803249460252,-0.008800011122173077,-0.008641251620430628,-0.011112288928195286,-0.009574658821014563,-0.008850038006688115,-0.00913449050860565,-0.00018384618285532947,0.00834353281015644
62,1.74,-0.008315692630763906,-0.009064324828181992,-0.009192012793921012,0.06802387030835443,-0.008597402518392859,-0.00867486429202692,-0.008514054544853721,-0.010915115206526138,-0.009435276951545451,-0.008724072982350726,-0.009002022204211861,-0.0001479695638728398,0.008295017278881463
63,1.76,-0.008197881332959617,-0.00893180018027731,-0.009052886367864867,0.06735305678776299,-0.008481113918408998,-0.008554860581961208,-0.008392650594004243,-0.010726753724801948,-0.009301909873797616,-0.008603611794118867,-0.00887507861320562,-0.0001150049290850393,0.008245792424114658
64,1.78,-0.008085086676980793,-0.008804959421046863,-0.008919727840901975,0.06669895950995071,-0.008369775646947429,-0.008439996911944978,-0.008276323760145402,-0.010545923868345984,-0.00917400751083744,-0.008487886469484073,-0.008753544451924148,-8.464864831832614e-05,0.008196161555734325
65,1.8,-0.007978800468359968,-0.008682904924926058,-0.008791556236393395,0.06606105018775857,-0.00826224223572339,-0.008329515037373177,-0.008164559114913969,-0.010370698792743435,-0.009050817023682886,-0.008376760704027871,-0.008636339828474013,-5.605534454745869e-05,0.008146278048812731
66,1.82,-0.007875228800958905,-0.00856609233772824,-0.008669258212930566,0.06543909029626777,-0.008159612070930805,-0.008223724349236728,-0.00805748419865794,-0.010204347261218683,-0.008932978067720154,-0.008270238546112248,-0.008524208907883754,-3.0301287614602846e-05,0.008096198496660087
67,1.84,-0.007775734162594659,-0.008454401351497397,-0.008551713630297024,0.06483216762251791,-0.008061018987216097,-0.00812232909561824,-0.007955157485743823,-0.010044637958272434,-0.008819999947290913,-0.008167932537225982,-0.008416555849225514,-6.37184637554817e-06,0.008045759413885184
68,1.86,-0.007680041284505773,-0.00834682367259329,-0.008438931008890649,0.06424094998934643,-0.007965994685085149,-0.008024805473648049,-0.00785662475357426,-0.009891248682109915,-0.00871127373154898,-0.008069731525050363,-0.008313106805523244,1.5558635069818015e-05,0.007995630952717634
69,1.8800000000000001,-0.007588164383227962,-0.008243540809028187,-0.008330555629808714,0.0636642745275151,-0.00787464966029008,-0.00793078390683179,-0.007761694806716418,-0.009743624038275086,-0.008606897894237669,-0.00797497014418069,-0.008213178217280745,3.585158631487508e-05,0.00794535525187778
70,1.9000000000000001,-0.007499571716755979,-0.008143897108100342,-0.008226539528636015,0.06309957047962199,-0.007786590921819387,-0.007840418381206957,-0.00767057668027586,-0.009601791549595808,-0.00850617587939423,-0.007883847006398301,-0.008117297695391861,5.4462302744028056e-05,0.007895179004822818
71,1.92,-0.007414506417840446,-0.008048149644634815,-0.008126324574989722,0.06254985285901085,-0.007701745335786153,-0.0077531571560880905,-0.007582930628495975,-0.009465108533701404,-0.008409258775740872,-0.00779617400072187,-0.00802466485563516,7.167481137271239e-05,0.007845254042072664
72,1.94,-0.00733230588003679,-0.007956186568798141,-0.008029753685506985,0.062013511102717106,-0.0076197630862099115,-0.007669342919760692,-0.007498301361223045,-0.009333322435420455,-0.008315800069983727,-0.007711326030698914,-0.007935380278412934,8.752482349836646e-05,0.007795596739635833
73,1.96,-0.00725293774762556,-0.007867232989548247,-0.00793669545520169,0.06148836455021472,-0.007540605792096991,-0.007588141130331985,-0.00741660977412615,-0.009206506281383602,-0.008225510812719215,-0.007629478393637444,-0.007849254220401116,0.00010216490251998464,0.007746204832489428
74,1.98,-0.007176478948325588,-0.007781355123013973,-0.007846942173812006,0.06097691599720617,-0.007464254169886545,-0.007509892776583541,-0.00733797927318464,-0.009084321930645534,-0.00813865008026904,-0.007550369884841849,-0.007766025945714046,0.00011572003960722142,0.007697144862951643
75,2.0,-0.00710264421325978,-0.007698478101370793,-0.00776024011906628,0.0604761437390454,-0.007390449112933515,-0.00743427551914096,-0.007261948094014284,-0.008966264028337731,-0.008054536103688548,-0.007473966468321976,-0.007685645157597324,0.00012806061148443282,0.0076485941254065895
