,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
41,1.32,-0.0001647476696831,-0.0001830462112948,-0.0001764633554612,-0.0001637246247877,-0.0001594498898859,-0.0001652158789751,-0.0001612021885775,-0.0001951030733929,-0.0001738583614678,-0.0001629095307312,0.0354024564406852,-0.0001624101675977,2.776983517799232e-05,8.996581346555594e-05
42,1.34,-0.0001608044863366,-0.0001794375463456,-0.0001723870170209,-0.0001601994192221,-0.0001557283168706,-0.0001615403658274,-0.0001572331413693,-0.0001905372714871,-0.0001699775194613,-0.0001590713965853,0.034985855111118,-0.0001587112492126,2.905782860654376e-05,9.090407483883831e-05
43,1.36,-0.000157023076268,-0.0001751451545252,-0.0001682388119471,-0.0001567182047095,-0.0001522373010893,-0.0001577688997315,-0.000153560798079,-0.000186838513242,-0.0001662445946561,-0.0001554003284125,0.034578731404399,-0.0001555764261819,3.027688336988505e-05,9.149149968387118e-05
44,1.38,-0.0001533313235229,-0.0001714099905468,-0.0001642007145974,-0.0001532526781295,-0.0001490785530271,-0.0001542310365311,-0.0001501323922527,-0.0001821309112545,-0.000162248443841,-0.0001519141166885,0.0341809321116321,-0.0001521467631029,3.1963381454411554e-05,9.176124877288058e-05
45,1.4,-0.0001501343266525,-0.0001675245029794,-0.0001602102177036,-0.0001497970818019,-0.0001456047525467,-0.0001509937344003,-0.0001466590205273,-0.0001779285271219,-0.0001589080488474,-0.0001490046445193,0.0337924155070916,-0.000148601112782,3.2913796460947665e-05,9.26437201117337e-05
46,1.42,-0.0001467037471096,-0.0001635558252866,-0.0001570761357045,-0.0001467958800647,-0.0001425880933328,-0.0001480206853621,-0.0001432404236873,-0.0001741153042155,-0.000155676878271,-0.0001454001378509,0.0334130108082128,-0.000145531683184,3.408614093532053e-05,9.308766980055713e-05
47,1.44,-0.0001431258309712,-0.0001601540182081,-0.0001534316085405,-0.000143888110196,-0.0001396714087179,-0.0001446219308051,-0.000140062701071,-0.000170415865679,-0.0001522303019491,-0.0001423497912107,0.0330417249715911,-0.0001422489892575,3.555759435750815e-05,9.336516577852944e-05
48,1.46,-0.0001400228739439,-0.000156606953996,-0.0001500700501267,-0.0001407064075181,-0.000136646357696,-0.00014138519556,-0.0001368720346973,-0.0001667212272696,-0.0001492226246531,-0.0001394313820001,0.0326793196982752,-0.0001395999050971,3.647433737289337e-05,9.392653074937377e-05
49,1.48,-0.0001369296142838,-0.0001535599575762,-0.0001465922934521,-0.0001378749450416,-0.0001337525851072,-0.0001382977041558,-0.0001337407697617,-0.0001631644861992,-0.0001458984516064,-0.0001362269407274,0.0323248643235735,-0.0001364331384583,3.7277395275096965e-05,9.419395255603149e-05
50,1.5,-0.0001339790886053,-0.0001500025430031,-0.0001434418341538,-0.0001348036735119,-0.0001311593127763,-0.000135266248677,-0.0001307800656529,-0.0001594910913872,-0.0001428614471084,-0.0001336260111174,0.0319783918587656,-0.0001336052300752,3.86166064943418e-05,9.495954898713118e-05
