,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
51,1.52,-0.043431221582993,-0.0522752328054358,0.1306606964602023,-0.0515039674414514,-0.0523089096390264,-0.0529734551926607,-0.0519902863580414,-0.055337528424317,-0.0535603736898338,-0.0532351423431785,-0.0547076190999436,-0.0530878158719045,-0.0420904069487735
52,1.54,-0.0438327746537238,-0.0527198528577314,0.1305711789378397,-0.0519582363697764,-0.0527795034441373,-0.0534440045112693,-0.0524322416408019,-0.055761456639455,-0.0540350592390049,-0.0537045341341389,-0.0551843136054724,-0.0535571331616916,-0.0425243964552239
53,1.56,-0.0442327879974565,-0.0531613524565765,0.1304775898759674,-0.0524098149821789,-0.0532477501566988,-0.0539122048931736,-0.0528713370024725,-0.0561831663468247,-0.054507349191721,-0.0541708896705587,-0.055659581356991,-0.0540247884174379,-0.0429562127000098
54,1.58,-0.0446306340447363,-0.0536010518026671,0.1303781019087793,-0.0528591712106738,-0.0537135163395914,-0.0543778933159717,-0.0533086410440386,-0.0566032666277659,-0.0549770274349617,-0.0546355195772963,-0.0561319130537634,-0.0544900013935837,-0.043386309944221
55,1.6,-0.0450268714621281,-0.0540389948744253,0.1302738242392284,-0.0533061050427486,-0.0541765215392157,-0.0548411516881273,-0.0537436515867166,-0.0570203386940102,-0.0554443796778603,-0.055096826413755,-0.0566022745424762,-0.0549519771939755,-0.0438146080496703
56,1.62,-0.0454212959247633,-0.0544735932165146,0.1301608060108718,-0.0537502941103802,-0.0546374939332774,-0.0553022679029921,-0.0541764050710084,-0.0574354519683816,-0.0559092833802105,-0.0555557937647614,-0.0570699108434439,-0.0554127129335374,-0.0442405471910257
57,1.64,-0.0458138110536905,-0.0549061286051656,0.1300468471869272,-0.0541920862818612,-0.0550963888056922,-0.0557605896024226,-0.054606842179488,-0.0578481256478391,-0.0563718961762355,-0.0560132394131316,-0.0575349319213592,-0.0558709530975886,-0.044664687098809
58,1.66,-0.0462043691471414,-0.0553364406958348,0.1299240009639968,-0.0546314312981206,-0.0555514770720799,-0.0562165687037807,-0.0550346502208246,-0.0582587253991494,-0.0568314603947349,-0.0564675554695498,-0.0579979150148547,-0.0563259633654567,-0.0450869184522985
59,1.68,-0.0465928163915115,-0.055764457543868,0.129797932923905,-0.0550680809196717,-0.0560052155708465,-0.0566698754738409,-0.0554602536424748,-0.0586670906794176,-0.0572890912175298,-0.0569190689646453,-0.058458111899057,-0.056779286514859,-0.0455067209591352
60,1.7,-0.0469792399975881,-0.0561895546248211,0.1296674082672882,-0.0555025849805007,-0.0564557650643058,-0.0571201275521764,-0.0558832058191017,-0.0590723271861021,-0.0577440588993547,-0.0573686799062544,-0.0589160979262434,-0.0572295948185965,-0.0459245357281982
61,1.72,-0.0473638856066981,-0.0566124567927791,0.1295322388323585,-0.0559342968971596,-0.0569043120451479,-0.0575686462037762,-0.0563038071717737,-0.0594759802207541,-0.0581955846685187,-0.0578157036582052,-0.0593715546141566,-0.0576777250246739,-0.0463401127877821
62,1.74,-0.0477466132695887,-0.0570333527586907,0.1293922422207182,-0.0563634434730587,-0.0573500775994105,-0.0580145468650279,-0.0567222156005635,-0.0598767976289167,-0.0586455738160287,-0.0582594411384638,-0.0598245772549562,-0.0581230938455188,-0.0467536390804618
63,1.76,-0.0481271367766579,-0.0574512232902979,0.1292518347613545,-0.0567896674343234,-0.0577931312613057,-0.0584576139485653,-0.0571378603521076,-0.0602753512091053,-0.0590926787367665,-0.0587006776865994,-0.0602747511396667,-0.058566113225497,-0.047165188321504
64,1.78,-0.0485054744666975,-0.0578664631002277,0.129102350465588,-0.0572140371003065,-0.0582338096928207,-0.0588983080644083,-0.0575513487941086,-0.0606712945748432,-0.0595372582665696,-0.0591402383232463,-0.0607227153796344,-0.0590064566622081,-0.0475743026806096
65,1.8,-0.0488818437922728,-0.0582794720598155,0.1289520599339341,-0.0576352589589,-0.058671442810097,-0.0593361160111557,-0.0579619719654592,-0.061064984178503,-0.0599786954149963,-0.0595767743941047,-0.0611677867504313,-0.0594444899352508,-0.0479811952792941
66,1.82,-0.0492561330256899,-0.0586900303585523,0.1287986728584804,-0.0580541399895861,-0.0591068876074421,-0.0597716229648618,-0.058370592651729,-0.0614561328474924,-0.0604182857438251,-0.0600108273831406,-0.0616103821535342,-0.0598799270761346,-0.0483861456507027
67,1.84,-0.0496282800000658,-0.0590980338462904,0.1286399876123886,-0.0584701101777826,-0.0595394450405449,-0.0602044983765073,-0.0587765095441301,-0.0618450012969646,-0.0608545317447254,-0.0604419423004452,-0.062050644464442,-0.0603123834120475,-0.0487885145212932
68,1.86,-0.0499982279164356,-0.0595034705483914,0.1284807300536568,-0.0588837739154705,-0.0599698454041672,-0.0606346343390174,-0.0591796634894478,-0.0622312019837179,-0.0612884944432634,-0.0608704062274942,-0.0624881070146798,-0.060743034458508,-0.0491887575914357
69,1.88,-0.0503663593185781,-0.0599064010766038,0.1283141895219376,-0.0592949097428673,-0.0603971005123299,-0.0610620990800806,-0.059580393694435,-0.0626148940258066,-0.0617199574358315,-0.061297034774079,-0.0629224957023768,-0.0611703936321945,-0.0495866516349888
70,1.9,-0.0507318940896604,-0.0603070325071969,0.1281491527686759,-0.0597030527523727,-0.0608222204836394,-0.0614873010738053,-0.0599789434948615,-0.0629964782602432,-0.06214889629552,-0.0617205338694161,-0.0633551199919451,-0.0615956317112463,-0.049982445013674
71,1.92,-0.051095252034906,-0.060705123997676,0.127978137941618,-0.0601089275633407,-0.0612442182299902,-0.0619094425993189,-0.0603748466556709,-0.0633754045295446,-0.0625747873812757,-0.0621411359226991,-0.0637851856726187,-0.0620177315058,-0.0503756485072683
72,1.94,-0.051456729476378,-0.0611001426189395,0.127807937853373,-0.0605120347157031,-0.061663856608156,-0.0623291062580226,-0.0607681395210997,-0.063751803476446,-0.0629978508108734,-0.0625592448142717,-0.064211906215055,-0.0624377952611676,-0.0507670234141644
73,1.96,-0.0518157085571338,-0.0614931763480804,0.1276333696149826,-0.06091244316149,-0.0620801540826447,-0.0627458984003512,-0.061159094867242,-0.0641259454869719,-0.0634187672382298,-0.0629750784780263,-0.064636186640953,-0.0628548319780678,-0.0511556975653742
74,1.98,-0.0521729555051406,-0.0618831735800022,0.127456706471868,-0.0613100379646816,-0.0624943715665018,-0.0631605085204118,-0.0615472479437682,-0.0644975094273116,-0.0638369436613573,-0.0633880737409438,-0.0650581694303397,-0.0632699233871979,-0.0515421739514452
75,2.0,-0.05252754236770997,-0.06227116117946963,0.12727818930122428,-0.061705167957456675,-0.06290628371742497,-0.06357215525876393,-0.061932774521535935,-0.06486652623393396,-0.06425221251278182,-0.06379830717491215,-0.06547761231442477,-0.0636818230252919,-0.05192619677650077
