,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
278,501,2.0,0.278,0.01,0.01,0.01,12.0,12.0,12.0,12.0
279,501,2.0,0.279,0.01,0.01,0.01,12.0,12.0,12.0,12.0
280,501,2.0,0.28,0.01,0.01,0.01,12.0,12.0,12.0,12.0
281,501,2.0,0.281,0.01,0.01,0.01,12.0,12.0,12.0,12.0
282,501,2.0,0.282,0.01,0.01,0.01,12.0,12.0,12.0,12.0
283,501,2.0,0.283,0.01,0.01,0.01,12.0,12.0,12.0,12.0
284,501,2.0,0.284,0.01,0.01,0.01,12.0,12.0,12.0,12.0
285,501,2.0,0.285,0.01,0.01,0.01,12.0,12.0,12.0,12.0
286,501,2.0,0.286,0.01,0.01,0.01,12.0,12.0,12.0,12.0
287,501,2.0,0.287,0.01,0.01,0.01,12.0,12.0,12.0,12.0
288,501,2.0,0.288,0.01,0.01,0.01,12.0,12.0,12.0,12.0
289,501,2.0,0.289,0.01,0.01,0.01,12.0,12.0,12.0,12.0
290,501,2.0,0.29,0.01,0.01,0.01,12.0,12.0,12.0,12.0
291,501,2.0,0.291,0.01,0.01,0.01,12.0,12.0,12.0,12.0
292,501,2.0,0.292,0.01,0.01,0.01,12.0,12.0,12.0,12.0
293,501,2.0,0.293,0.01,0.01,0.01,12.0,12.0,12.0,12.0
294,501,2.0,0.294,0.01,0.01,0.01,12.0,12.0,12.0,12.0
295,501,2.0,0.295,0.01,0.01,0.01,12.0,12.0,12.0,12.0
296,501,2.0,0.296,0.01,0.01,0.01,12.0,12.0,12.0,12.0
297,501,2.0,0.297,0.01,0.01,0.01,12.0,12.0,12.0,12.0
298,501,2.0,0.298,0.01,0.01,0.01,12.0,12.0,12.0,12.0
299,501,2.0,0.299,0.01,0.01,0.01,12.0,12.0,12.0,12.0
300,501,2.0,0.3,0.01,0.01,0.01,12.0,12.0,12.0,12.0
301,501,2.0,0.301,0.01,0.01,0.01,12.0,12.0,12.0,12.0
302,501,2.0,0.302,0.01,0.01,0.01,12.0,12.0,12.0,12.0
