,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,CAN,KOR,RUS,MEX,ZAF
180,1030,20.21,pop_weighted,0.01,0.01,0.0100000723925513,0.01,12.0,11.99999973360188,12.0,0.01,0.01,0.01,0.01,
181,1030,20.22,negishi,0.01,0.01,0.0100003627899471,0.010000347107732,12.0,11.999999999999972,12.0,0.01,0.01,12.0,12.0,
182,1030,20.22,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
183,1030,20.23,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
184,1030,20.23,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
185,1030,20.24,negishi,0.0100001432647454,0.01,0.01,0.01,11.999999663395151,12.0,11.999999663426443,0.0100003358146041,0.01,12.0,11.999999663426047,
186,1030,20.24,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
187,1030,20.0,negishi,0.0100000592607301,0.01,0.0100001116065613,12.0,12.0,12.0,12.0,0.0100000779321929,0.01,12.0,12.0,
188,1030,20.0,pop_weighted,0.01,0.01,0.01,0.01,12.0,11.999999999735222,11.999999999613156,0.01,0.01,0.01,0.01,
189,1030,20.1,negishi,0.01,0.01,0.01,12.0,11.999999977605116,11.999999976379865,11.999999976404194,0.01,0.01,11.999999996471958,11.9999999988511,
190,1030,20.1,pop_weighted,0.01,0.0100002195199588,0.01,0.01,11.99999999155189,11.999999999626285,11.999999998930234,0.01,0.01,0.01,0.01,
191,1030,20.2,negishi,0.01,0.0100000002789101,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
192,1030,20.2,pop_weighted,0.0100000107592068,0.010000000000002,0.01,0.01,12.0,12.0,12.0,0.01,0.0100000000000013,0.01,0.01,
193,1030,20.3,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
