,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,Equal,Negishi,CAN,KOR,RUS,AUS,MEX,ZAF
1572,1020,20.8,pop_weighted,0.9837941453356432,0.977153379002833,0.9848977747793368,1.136799096388469,1.1211798008971097,1.1186219957897214,1.1226025425707542,1.116112047467241,1.0536863643925027,1.0189647272559814,1.0196155260635378,1.1210350133681235,,0.9415720381417484,
1573,1020,20.9,pop_weighted,1.0082318726642638,1.0153084297585044,1.0298931668566134,0.9035125533598678,1.155110207193511,1.1547256124413945,1.1626238802637716,1.1173295896695037,1.028736070561049,1.0617929690157208,1.0886474209144226,1.1603307824813842,,1.057365853171851,
1574,1020,20.10,pop_weighted,1.0086051633512416,1.0158876822739558,1.0306009261484956,0.910901044463109,1.1562928739599436,1.1557195300566525,1.1635501370663737,1.119472947660016,1.0313725044935564,1.0628519835896575,1.0894788485188838,1.1614603211251526,,1.0612655924753105,
1575,1020,20.11,pop_weighted,1.008928122586498,1.016423263540426,1.0312683721496487,0.918334218268926,1.1574323295952682,1.1566623860631753,1.1644176442792544,1.1215642475981973,1.0339677914411964,1.0638739547985263,1.090275337456218,1.162490728109749,,1.0652417095704283,
1576,1020,20.12,pop_weighted,1.0091815227646044,1.0169009498730983,1.0318786974872989,0.9257704869156568,1.1584924223095072,1.1575372498562495,1.1651937220113884,1.123580750295979,1.036512953197579,1.064838380710401,1.0910159122166745,1.1632900474092307,,1.070271375654122,
1577,1020,20.13,pop_weighted,1.0093839866361858,1.0173273366441171,1.032439752525041,0.9331878411648228,1.1594808087622668,1.1583447331210208,1.1659024314137192,1.1255171704936302,1.0389774263530744,1.065754416283152,1.0917108339672557,1.1640159326775694,,1.0745134667911207,
1578,1020,20.14,pop_weighted,1.009497619431214,1.017675675527488,1.0329205053680877,0.9405371633829944,1.1604022193730663,1.1590584897699947,1.16651422646919,1.1273602596261163,1.0413720692598432,1.06658630856277,1.0923207441473892,1.1646353421037472,,1.0801975160667423,
1579,1020,20.15,pop_weighted,1.0095424653609806,1.017955904430128,1.033331930956279,0.9478026575582856,1.161229463961928,1.1596825169988705,1.1670340368602536,1.1290978739434545,1.0436682037251543,1.0673455608421405,1.0928588839692257,1.1651919828575763,,1.0856906705021354,
1580,1020,20.16,pop_weighted,1.0095263031258743,1.018171037943551,1.0336767301660237,0.9549644961375888,1.1619713371062317,1.1602154947303196,1.1674604574965286,1.1307197858372235,1.0458477809378357,1.06803419640727,1.0933277315196572,1.1656481990970466,,1.0902373538322965,
1581,1020,20.17,pop_weighted,1.009430519223525,1.0183075744815258,1.0339387664142066,0.9619901409189484,1.162613573714518,1.1606431954589922,1.167777053874085,1.1322173548351335,1.047915082305107,1.068633130777069,1.0937059289274207,1.1660014707217272,,1.0949875030915637,
1582,1020,20.18,pop_weighted,1.0092525532501004,1.01836255973443,1.034113904963614,0.9688579089345494,1.1631507766211235,1.160960425638423,1.1679775360280171,1.1335835372908023,1.0498648950087806,1.0691367233369828,1.0939870124747424,1.1662467647589905,,1.1000589690909344,
1583,1020,20.19,pop_weighted,1.0090123859150972,1.0183477970867247,1.0342147605103078,0.9755611373669296,1.163589906809828,1.1611744378181472,1.1680697522704888,1.1348128353016071,1.051677388947784,1.0695580915474014,1.0941853115938849,1.166393039926905,,1.104002577376621,
1584,1020,20.20,pop_weighted,1.0086949599413209,1.0182531538165442,1.0342289380133076,0.98207506555316,1.163920602683663,1.1612750950702075,1.1680414220771134,1.1359012018903103,1.0533608436734951,1.0698822687397194,1.094283759185759,1.166429125960091,,1.1079457153144148,
1585,1020,20.21,pop_weighted,1.0083041271641102,1.0180808423904708,1.034158109455655,0.9883875503356532,1.1641428483850291,1.161262715017179,1.1678921624816083,1.136845949195167,1.0549113708773012,1.0701100630268623,1.0942828189639813,1.166355568528867,,1.111716152814675,
1586,1020,20.22,pop_weighted,1.0078382001010455,1.0178298059236963,1.0340002529947296,0.9944849125021062,1.1642543201157565,1.1611353530636908,1.1676188954338922,1.1376456291146444,1.0563309449177165,1.0702381512780164,1.0941783124166622,1.166170096563875,,1.1155997587619442,
1587,1020,20.23,pop_weighted,1.007337253928391,1.0175262591160792,1.033784197119796,1.0003803621468217,1.1642752506961356,1.1609135356292857,1.1672444189178093,1.1382998886832554,1.0575911519109769,1.0702976108270523,1.0940043952087102,1.1658961297741783,,1.1167897959356778,
1588,1020,20.24,pop_weighted,1.0067279272888552,1.0171232479423058,1.0334561077114226,1.0060199897485025,1.1641665085768442,1.1605588176570123,1.166723402435527,1.138809482439863,1.0587515375160987,1.070227380906905,1.09369249625712,1.1654889534884885,,1.1210393107399097,
1589,1020,20.0,pop_weighted,0.9963159078891248,0.9892907682634268,0.986585015708717,0.9904703124313308,0.9822384759716466,0.9801000583912598,0.9744757870580228,0.9786333197957082,0.9867820949202298,0.9930492238061552,0.9992255102202446,0.9789406208218454,,0.9792091311130254,
1590,1030,baseline,pop_weighted,0.9857794538327994,0.9816954403769964,0.9858321945082424,1.130874035357065,1.1211537666510298,1.1193866897050562,1.1236420026165708,1.11637846676804,1.0540469620707795,1.0183585810638631,1.01916671037905,1.1218608199071567,,0.9409055849629516,
1591,1030,10.2,pop_weighted,0.9860026045172288,0.991855950275624,0.9793372417479452,1.1165981768166178,1.1113899071877908,1.1097681662145973,1.1098204111162695,1.1061695388281572,1.052910552597954,0.9767358632298302,1.004628607838452,1.1133601638768469,,1.1118745363584823,
1592,1030,baseline,negishi,0.9829033902861048,0.9798141060756346,0.9836143731893764,1.1292339112955188,1.1195895983501682,1.1177701218117913,1.1218490499891276,1.1161852092823414,1.056028580699879,1.0160292290844457,1.0163939979096963,1.1200830510371989,,1.1134628658673154,
