,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW
135,312,5.0,pop_weighted,0.01,0.01,0.01,58.418346914024895,22.75410896895153,56.84384645919259,60.59567039830852
136,312,5.0,negishi,0.01,0.01,0.01,7.707235631501685,4.587997090648201,5.695005315140434,7.991337433841837
137,312,6.0,pop_weighted,0.01,0.01,0.01,19.31505365470235,5.833621671411553,20.019935292287865,16.112847072848112
138,312,6.0,negishi,0.01,0.01,0.01,17.31541694867083,9.271873337416835,12.144821431007337,13.583655740884089
139,312,7.0,pop_weighted,0.01,0.01,0.01,57.74918304280999,22.14287748313201,55.16314207453796,58.964323934980825
140,312,7.0,negishi,0.01,0.01,0.01,8.94084226481696,5.3403059980455865,6.628163651566105,9.037640847271154
141,312,8.0,pop_weighted,0.01,0.01,0.01,27.233464470776163,7.091487729221565,20.11272214615605,19.61893048300159
142,312,8.0,negishi,0.01,0.1949019433357872,0.107943095043426,0.2544908279422255,0.1691255423111676,0.2047603668163495,0.5347006496968256
143,312,9.0,pop_weighted,0.01,0.01,0.01,80.39428616241291,26.34925102463757,87.21048082458586,52.582780333667486
144,312,9.0,negishi,0.01,0.7670032578408912,0.01,0.8495225081180231,0.4605573244283731,0.5919353797280928,0.7436941941147486
145,312,10.0,pop_weighted,0.01,0.01,0.01,84.36828391158704,16.696877762505846,100.0,33.15532605832867
146,312,10.0,negishi,0.01,0.01,0.01,100.0,49.12499324679728,66.0335871814654,50.13766302547088
147,312,11.0,pop_weighted,0.01,0.01,0.01,100.0,24.71574989412167,100.0,53.59916304273848
148,312,11.0,negishi,0.01,0.01,0.01,76.65847875212206,33.03865366734496,46.976704706476326,29.40333635644292
149,312,11.2,pop_weighted,0.01,0.01,0.01,43.19469073433839,17.92818095898912,42.73204271154094,35.938546896441075
150,312,11.2,negishi,0.01,100.0,0.01,100.0,42.95860766858748,59.56920228131735,37.25489774031844
151,312,11.3,pop_weighted,0.01,0.01,0.01,64.2924268135182,16.46309125667849,73.47571413268545,31.011901580981537
152,312,11.3,negishi,12.158913449578652,14.320787112208224,0.01,21.61140100747093,13.84704055717357,17.318643626520576,14.41367043122102
153,401,baseline,pop_weighted,0.01,0.01,0.01,4.247706026327664,3.552056872454816,4.536850453913938,8.578908945101736
154,401,baseline,negishi,0.01,0.2403257934580493,0.01,9.62769994244628,7.000136231799351,8.226616286129296,12.0
155,401,1.0,pop_weighted,0.01,0.01,0.01,7.167477533980276,2.440147408959996,7.634462559063722,12.0
156,401,1.0,negishi,0.01,0.2402232330233451,0.01,8.454841027134584,6.122867450765871,7.196792281284813,10.538673165660123
157,401,2.0,pop_weighted,0.01,0.01,0.01,11.279702715810098,4.310374529577895,12.0,9.814238958864104
158,401,2.0,negishi,0.01,0.1460697272343864,0.01,12.0,7.145200092031655,8.891705796811818,8.22423778362511
159,401,3.0,pop_weighted,0.01,0.01,0.01,5.709304099193396,4.576320405267426,5.705514806802411,11.65078082989102
160,401,3.0,negishi,0.01,0.131668095003959,0.01,5.4352137256538855,4.104584308824776,4.951661657838764,6.556390617236618
161,401,4.0,pop_weighted,0.01,0.01,0.01,11.432405016536087,4.526632871583964,12.0,10.601078441883116
162,401,4.0,negishi,0.01,0.11972648158834,0.01,12.0,7.519691179297785,9.053353587228871,9.606772810192108
163,401,5.0,pop_weighted,0.01,0.01,0.01,9.260730810810474,3.9397476361746415,9.392262621358569,12.0
164,401,5.0,negishi,0.01,0.01,0.01,12.0,7.691168312061674,9.30168142264576,12.0
165,401,6.0,pop_weighted,0.01,0.01,0.01,12.0,5.4512570563614045,12.0,12.0
166,401,6.0,negishi,0.01,0.01,0.01,12.0,9.883566792687471,12.0,12.0
167,401,7.0,pop_weighted,0.01,0.01,0.01,6.721324453240445,2.9698707460609506,6.759823674225643,9.11122284099172
168,401,7.0,negishi,0.01,0.01,0.01,9.728703782719531,6.192526981428382,7.3958026365779,12.0
169,401,8.0,pop_weighted,0.01,0.01,0.01,12.0,6.887150228030676,12.0,12.0
170,401,8.0,negishi,0.01,0.01,0.01,8.39251263026427,4.839493861522077,6.035909696306344,6.980644698305012
171,401,9.0,pop_weighted,0.01,0.01,0.01,12.0,4.869554892294559,12.0,10.78457816944204
172,401,9.0,negishi,0.01,12.0,0.01,12.0,11.642476090368856,12.0,11.305761828303504
173,401,10.0,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0
174,401,10.0,negishi,0.01,12.0,0.01,12.0,12.0,12.0,12.0
175,401,11.0,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0
176,401,11.0,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0
177,401,1.1,pop_weighted,0.01,0.01,0.01,12.0,5.455151045446323,12.0,12.0
178,401,1.1,negishi,0.01,0.01,0.01,12.0,7.720865008452167,9.280621487396749,11.526642200212034
179,401,1.2,pop_weighted,0.01,0.01,0.01,8.921276334034461,12.0,9.254335077966124,11.999999999710797
180,401,1.2,negishi,0.01,7.201841980828562,0.01,4.194845531574415,12.0,8.523821139524623,12.0
181,401,1.3,pop_weighted,0.01,0.0333129020509577,0.01,1.1976731875985125,2.836780149809805,1.2466864269291265,8.146234298324826
182,401,1.3,negishi,0.2293766061591844,3.011300735781085,2.297203549856613,2.6667867710438244,1.952891502474881,2.4002873147221324,3.839523191162962
183,401,2.1,pop_weighted,0.01,0.01,0.01,12.0,5.240584621244303,12.0,12.0
184,401,2.1,negishi,0.01,0.01,0.01,12.0,9.663672127251711,12.0,12.0
185,401,2.2,pop_weighted,0.01,0.01,0.01,11.311161002113131,5.790432432369578,11.934568745365826,12.0
186,401,2.2,negishi,0.01,4.308747402769733,0.01,9.944286039171342,6.336607407088211,7.474661114990012,10.736105654503822
187,401,2.3,pop_weighted,0.01,0.01,0.01,3.922453157855138,6.553869579273293,4.155139979029732,12.0
188,401,2.3,negishi,0.7346458270794275,7.368440405685211,7.352138995592862,6.753942528712135,4.479020617209309,5.230632092024043,10.2144434704993
189,401,3.1,pop_weighted,0.01,0.01,0.01,11.698105242621471,4.672063495203425,12.0,12.0
190,401,3.1,negishi,0.01,0.01,0.01,12.0,7.76450642741054,9.333017240036328,11.570504836447736
191,401,3.2,pop_weighted,0.01,0.01,0.01,4.875218003790306,4.416371843515676,5.154811421812564,12.0
192,401,3.2,negishi,0.01,6.589743079984212,0.01,10.554482659513978,4.829512079594704,5.826295910794856,9.354815209157453
193,401,3.3,pop_weighted,0.01,0.01,0.01,2.5644651054833,4.037700798939156,2.747763458102507,12.0
194,401,3.3,negishi,0.176373543737193,1.398981712894151,3.61930966114108,2.4253625854287924,1.582806035000449,2.101768137406589,3.554945999966431
195,401,4.1,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0
196,401,4.1,negishi,0.01,0.01,0.01,12.0,9.737586930114754,12.0,10.46647595502
197,401,4.2,pop_weighted,0.01,0.01,0.01,10.057523476654431,5.567206118490371,9.679772432390712,12.0
198,401,4.2,negishi,0.01,6.103647741977856,0.01,12.0,7.818401370310508,9.293550483874233,11.546267025118894
